stride,level,lambda_pre,lambda_post,delta_lambda,chees_L,accept_pct
1,1,0.0,0.2,0.2,64,76.0
1,2,0.2,0.4,0.2,64,57.0
1,3,0.4,0.6,0.2,32,62.0
1,4,0.6,0.8,0.2,32,57.0
1,5,0.8,1.0,0.2,32,49.0
2,1,0.0,0.2,0.2,64,91.0
2,2,0.2,0.4,0.2,64,81.0
2,3,0.4,0.6,0.2,64,75.0
2,4,0.6,0.8,0.2,32,77.0
2,5,0.8,1.0,0.2,64,62.0
3,1,0.0,0.2,0.2,64,92.0
3,2,0.2,0.4,0.2,64,82.0
3,3,0.4,0.6,0.2,64,76.0
3,4,0.6,0.8,0.2,64,68.0
3,5,0.8,1.0,0.2,64,62.0
4,1,0.0,0.2,0.2,64,81.0
4,2,0.2,0.4,0.2,64,69.0
4,3,0.4,0.6,0.2,64,62.0
4,4,0.6,0.8,0.2,64,51.0
4,5,0.8,1.0,0.2,64,47.0
5,1,0.0,0.2,0.2,64,73.0
5,2,0.2,0.4,0.2,64,60.0
5,3,0.4,0.6,0.2,32,63.0
5,4,0.6,0.8,0.2,64,40.0
5,5,0.8,1.0,0.2,64,35.0
6,1,0.0,0.2,0.2,64,86.0
6,2,0.2,0.4,0.2,64,76.0
6,3,0.4,0.6,0.2,64,68.0
6,4,0.6,0.8,0.2,64,64.0
6,5,0.8,1.0,0.2,32,66.0
7,1,0.0,0.2,0.2,64,87.0
7,2,0.2,0.4,0.2,64,78.0
7,3,0.4,0.6,0.2,64,71.0
7,4,0.6,0.8,0.2,64,66.0
7,5,0.8,1.0,0.2,32,71.0
8,1,0.0,0.2,0.2,64,80.0
8,2,0.2,0.4,0.2,64,68.0
8,3,0.4,0.6,0.2,32,69.0
8,4,0.6,0.8,0.2,32,65.0
8,5,0.8,1.0,0.2,64,43.0
9,1,0.0,0.2,0.2,64,65.0
9,2,0.2,0.4,0.2,64,61.0
9,3,0.4,0.6,0.2,32,63.0
9,4,0.6,0.8,0.2,64,42.0
9,5,0.8,1.0,0.2,64,38.0
10,1,0.0,0.2,0.2,64,85.0
10,2,0.2,0.4,0.2,64,76.0
10,3,0.4,0.6,0.2,32,78.0
10,4,0.6,0.8,0.2,64,63.0
10,5,0.8,1.0,0.2,32,69.0
11,1,0.0,0.2,0.2,32,81.0
11,2,0.2,0.4,0.2,64,64.0
11,3,0.4,0.6,0.2,32,66.0
11,4,0.6,0.8,0.2,32,58.0
11,5,0.8,1.0,0.2,64,39.0
12,1,0.0,0.2,0.2,64,76.0
12,2,0.2,0.4,0.2,32,70.0
12,3,0.4,0.6,0.2,32,65.0
12,4,0.6,0.8,0.2,64,42.0
12,5,0.8,1.0,0.2,32,50.0
13,1,0.0,0.2,0.2,64,93.0
13,2,0.2,0.4,0.2,64,84.0
13,3,0.4,0.6,0.2,64,80.0
13,4,0.6,0.8,0.2,64,73.0
13,5,0.8,1.0,0.2,64,69.0
14,1,0.0,0.2,0.2,64,92.0
14,2,0.2,0.4,0.2,32,89.0
14,3,0.4,0.6,0.2,64,79.0
14,4,0.6,0.8,0.2,64,71.0
14,5,0.8,1.0,0.2,64,68.0
15,1,0.0,0.2,0.2,64,88.0
15,2,0.2,0.4,0.2,64,80.0
15,3,0.4,0.6,0.2,64,71.0
15,4,0.6,0.8,0.2,64,66.0
15,5,0.8,1.0,0.2,32,67.0
16,1,0.0,0.2,0.2,64,79.0
16,2,0.2,0.4,0.2,64,70.0
16,3,0.4,0.6,0.2,64,60.0
16,4,0.6,0.8,0.2,32,65.0
16,5,0.8,1.0,0.2,32,60.0
17,1,0.0,0.2,0.2,64,80.0
17,2,0.2,0.4,0.2,32,78.0
17,3,0.4,0.6,0.2,64,56.0
17,4,0.6,0.8,0.2,16,74.0
17,5,0.8,1.0,0.2,64,37.0
18,1,0.0,0.2,0.2,64,71.0
18,2,0.2,0.4,0.2,32,65.0
18,3,0.4,0.6,0.2,64,37.0
18,4,0.6,0.8,0.2,16,61.0
18,5,0.8,1.0,0.2,32,40.0
19,1,0.0,0.2,0.2,64,87.0
19,2,0.2,0.4,0.2,64,79.0
19,3,0.4,0.6,0.2,32,79.0
19,4,0.6,0.8,0.2,64,63.0
19,5,0.8,1.0,0.2,64,59.0
20,1,0.0,0.2,0.2,64,68.0
20,2,0.2,0.4,0.2,64,51.0
20,3,0.4,0.6,0.2,16,66.0
20,4,0.6,0.8,0.2,32,46.0
20,5,0.8,1.0,0.2,64,26.0
21,1,0.0,0.2,0.2,32,91.0
21,2,0.2,0.4,0.2,64,76.0
21,3,0.4,0.6,0.2,64,70.0
21,4,0.6,0.8,0.2,64,63.0
21,5,0.8,1.0,0.2,64,56.0
22,1,0.0,0.2,0.2,64,90.0
22,2,0.2,0.4,0.2,64,80.0
22,3,0.4,0.6,0.2,64,73.0
22,4,0.6,0.8,0.2,64,64.0
22,5,0.8,1.0,0.2,32,73.0
23,1,0.0,0.2,0.2,64,77.0
23,2,0.2,0.4,0.2,32,75.0
23,3,0.4,0.6,0.2,32,64.0
23,4,0.6,0.8,0.2,32,55.0
23,5,0.8,1.0,0.2,32,51.0
24,1,0.0,0.2,0.2,32,75.0
24,2,0.2,0.4,0.2,32,60.0
24,3,0.4,0.6,0.2,64,28.0
24,4,0.6,0.8,0.2,16,51.0
24,5,0.8,1.0,0.2,64,12.0
25,1,0.0,0.2,0.2,64,85.0
25,2,0.2,0.4,0.2,64,79.0
25,3,0.4,0.6,0.2,64,67.0
25,4,0.6,0.8,0.2,64,62.0
25,5,0.8,1.0,0.2,32,66.0
26,1,0.0,0.2,0.2,32,90.0
26,2,0.2,0.4,0.2,64,77.0
26,3,0.4,0.6,0.2,64,69.0
26,4,0.6,0.8,0.2,64,64.0
26,5,0.8,1.0,0.2,64,56.0
